,Názov kraja,Pohlavie,Súčasná ekonomická aktivita,abs.
97,Žilinský kraj,Muži,pracujúci dôhodcovia,1774
98,Žilinský kraj,Muži,vypomáhajúci v rod. podniku,63
99,Žilinský kraj,Muži,nezamestnaní,37395
100,Žilinský kraj,Muži,iné,144709
101,Žilinský kraj,Ženy,na materskej dovolenke,21340
102,Žilinský kraj,Ženy,pracujúci dôhodcovia,2444
103,Žilinský kraj,Ženy,vypomáhajúci v rod. podniku,190
104,Žilinský kraj,Ženy,nezamestnaní,26664
105,Žilinský kraj,Ženy,iné,115428
106,Žilinský kraj,Muži,dôchodca,48436
107,Žilinský kraj,Muži,nezávislí,4335
108,Žilinský kraj,Muži,deti a žiaci ZŠ,78312
109,Žilinský kraj,Muži,žiak z učilíšť,5271
110,Žilinský kraj,Muži,žiak strednej školy,9667
111,Žilinský kraj,Muži,študent vysokej školy,6419
112,Žilinský kraj,Muži,nezistené,3397
113,Žilinský kraj,Ženy,dôchodca,81966
114,Žilinský kraj,Ženy,nezávislí,2534
115,Žilinský kraj,Ženy,deti a žiaci ZŠ,74861
116,Žilinský kraj,Ženy,žiak z učilíšť,2660
117,Žilinský kraj,Ženy,žiak strednej školy,12523
118,Žilinský kraj,Ženy,študent vysokej školy,6314
119,Žilinský kraj,Ženy,nezistené,5353
120,Banskobystrický kraj,Muži,na materskej dovolenke,194
121,Banskobystrický kraj,Muži,pracujúci dôhodcovia,1172
122,Banskobystrický kraj,Muži,vypomáhajúci v rod. podniku,57
123,Banskobystrický kraj,Muži,nezamestnaní,44325
124,Banskobystrický kraj,Muži,iné,126316
125,Banskobystrický kraj,Ženy,na materskej dovolenke,15090
126,Banskobystrický kraj,Ženy,pracujúci dôhodcovia,1688
127,Banskobystrický kraj,Ženy,vypomáhajúci v rod. podniku,182
128,Banskobystrický kraj,Ženy,nezamestnaní,36027
129,Banskobystrický kraj,Ženy,iné,106758
130,Banskobystrický kraj,Muži,dôchodca,51966
131,Banskobystrický kraj,Muži,nezávislí,4454
132,Banskobystrický kraj,Muži,deti a žiaci ZŠ,67224
133,Banskobystrický kraj,Muži,žiak z učilíšť,4071
134,Banskobystrický kraj,Muži,žiak strednej školy,8628
135,Banskobystrický kraj,Muži,študent vysokej školy,5639
136,Banskobystrický kraj,Muži,nezistené,5534
137,Banskobystrický kraj,Ženy,dôchodca,89171
138,Banskobystrický kraj,Ženy,nezávislí,3245
139,Banskobystrický kraj,Ženy,deti a žiaci ZŠ,64178
140,Banskobystrický kraj,Ženy,žiak z učilíšť,2175
141,Banskobystrický kraj,Ženy,žiak strednej školy,10146
142,Banskobystrický kraj,Ženy,študent vysokej školy,5902
143,Banskobystrický kraj,Ženy,nezistené,7979
144,Prešovský kraj,Muži,na materskej dovolenke,276
145,Prešovský kraj,Muži,pracujúci dôhodcovia,763
146,Prešovský kraj,Muži,vypomáhajúci v rod. podniku,59
147,Prešovský kraj,Muži,nezamestnaní,54465
148,Prešovský kraj,Muži,iné,145736
149,Prešovský kraj,Ženy,na materskej dovolenke,20723
150,Prešovský kraj,Ženy,pracujúci dôhodcovia,1069
151,Prešovský kraj,Ženy,vypomáhajúci v rod. podniku,171
152,Prešovský kraj,Ženy,nezamestnaní,42381
153,Prešovský kraj,Ženy,iné,114905
154,Prešovský kraj,Muži,dôchodca,53167
155,Prešovský kraj,Muži,nezávislí,5314
156,Prešovský kraj,Muži,deti a žiaci ZŠ,99565
157,Prešovský kraj,Muži,žiak z učilíšť,4968
158,Prešovský kraj,Muži,žiak strednej školy,10966
159,Prešovský kraj,Muži,študent vysokej školy,7404
160,Prešovský kraj,Muži,nezistené,5719
161,Prešovský kraj,Ženy,dôchodca,89498
162,Prešovský kraj,Ženy,nezávislí,3091
163,Prešovský kraj,Ženy,deti a žiaci ZŠ,95167
164,Prešovský kraj,Ženy,žiak z učilíšť,2482
165,Prešovský kraj,Ženy,žiak strednej školy,13407
166,Prešovský kraj,Ženy,študent vysokej školy,7411
167,Prešovský kraj,Ženy,nezistené,11261
168,Košický kraj,Muži,na materskej dovolenke,227
169,Košický kraj,Muži,pracujúci dôhodcovia,9131
170,Košický kraj,Muži,vypomáhajúci v rod. podniku,56
171,Košický kraj,Muži,nezamestnaní,56979
172,Košický kraj,Muži,iné,137508
173,Košický kraj,Ženy,na materskej dovolenke,18672
174,Košický kraj,Ženy,pracujúci dôhodcovia,13958
175,Košický kraj,Ženy,vypomáhajúci v rod. podniku,182
176,Košický kraj,Ženy,nezamestnaní,47053
177,Košický kraj,Ženy,iné,112711
178,Košický kraj,Muži,dôchodca,46356
179,Košický kraj,Muži,nezávislí,5000
180,Košický kraj,Muži,deti a žiaci ZŠ,86463
181,Košický kraj,Muži,žiak z učilíšť,3992
182,Košický kraj,Muži,žiak strednej školy,10793
183,Košický kraj,Muži,študent vysokej školy,7469
184,Košický kraj,Muži,nezistené,7787
185,Košický kraj,Ženy,dôchodca,80842
186,Košický kraj,Ženy,nezávislí,3145
187,Košický kraj,Ženy,deti a žiaci ZŠ,82797
188,Košický kraj,Ženy,žiak z učilíšť,1940
189,Košický kraj,Ženy,žiak strednej školy,12049
190,Košický kraj,Ženy,študent vysokej školy,7405
191,Košický kraj,Ženy,nezistené,13497
